number components; knn; acc score; f1 score; roc score; time
8,0000;12,0000;0,0285;0,0322;0,0279;1,7715
8,0000;13,0000;0,0280;0,0300;0,0277;1,7906
8,0000;14,0000;0,0288;0,0316;0,0284;1,8309
8,0000;15,0000;0,0274;0,0314;0,0268;1,3996
8,0000;16,0000;0,0235;0,0284;0,0229;1,4276
8,0000;17,0000;0,0315;0,0361;0,0309;1,5115
8,0000;18,0000;0,0204;0,0231;0,0200;1,3092
8,0000;19,0000;0,0278;0,0335;0,0271;1,4240
8,0000;20,0000;0,0320;0,0344;0,0315;1,1246
8,0000;21,0000;0,0225;0,0246;0,0222;0,9282
8,0000;22,0000;0,0248;0,0280;0,0243;1,0225
8,0000;23,0000;0,0238;0,0259;0,0234;1,1106
8,0000;24,0000;0,0209;0,0222;0,0207;0,8656
8,0000;25,0000;0,0286;0,0335;0,0279;1,0338
9,0000;1,0000;0,0307;0,0478;0,0305;1,5851
9,0000;2,0000;0,0295;0,0337;0,0292;6,8903
9,0000;3,0000;0,0296;0,0319;0,0294;6,8535
9,0000;4,0000;0,0263;0,0274;0,0261;5,5538
9,0000;5,0000;0,0346;0,0383;0,0342;3,9654
9,0000;6,0000;0,0334;0,0367;0,0329;3,2463
9,0000;7,0000;0,0285;0,0337;0,0279;3,2397
9,0000;8,0000;0,0265;0,0307;0,0260;3,1463
9,0000;9,0000;0,0289;0,0339;0,0282;2,3516
9,0000;10,0000;0,0263;0,0301;0,0259;2,3859
9,0000;11,0000;0,0277;0,0319;0,0271;1,9972
9,0000;12,0000;0,0318;0,0361;0,0312;2,3106
9,0000;13,0000;0,0306;0,0370;0,0299;1,6552
9,0000;14,0000;0,0335;0,0361;0,0331;1,7210
9,0000;15,0000;0,0255;0,0283;0,0252;1,7678
9,0000;16,0000;0,0306;0,0363;0,0299;1,3685
9,0000;17,0000;0,0272;0,0302;0,0267;1,3940
9,0000;18,0000;0,0297;0,0343;0,0290;1,2103
9,0000;19,0000;0,0334;0,0377;0,0328;1,3136
9,0000;20,0000;0,0299;0,0355;0,0291;1,2034
