number components; knn; acc; f1 score; roc score; time
8,0000;21,0000;0,7947;0,8107;0,7932;3,7908
8,0000;22,0000;0,7964;0,8120;0,7948;3,8925
8,0000;23,0000;0,7981;0,8155;0,7963;3,7993
8,0000;24,0000;0,7991;0,8149;0,7976;3,7081
8,0000;25,0000;0,7987;0,8129;0,7973;3,4169
9,0000;1,0000;0,6355;0,5589;0,6395;25,9765
9,0000;2,0000;0,7454;0,7497;0,7453;24,8327
9,0000;3,0000;0,7629;0,7718;0,7624;22,2356
9,0000;4,0000;0,7693;0,7773;0,7688;16,7597
9,0000;5,0000;0,7785;0,7885;0,7778;12,5146
9,0000;6,0000;0,7896;0,8011;0,7886;11,7124
9,0000;7,0000;0,7801;0,7934;0,7790;10,3700
9,0000;8,0000;0,7793;0,7920;0,7782;9,3443
9,0000;9,0000;0,7774;0,7902;0,7764;8,0700
9,0000;10,0000;0,7866;0,8008;0,7854;6,9660
9,0000;11,0000;0,7868;0,8010;0,7855;6,8387
9,0000;12,0000;0,7889;0,8038;0,7875;6,6668
9,0000;13,0000;0,7877;0,8020;0,7863;5,8164
9,0000;14,0000;0,7774;0,7913;0,7763;5,6516
9,0000;15,0000;0,7866;0,8007;0,7853;5,3885
9,0000;16,0000;0,7845;0,8002;0,7830;4,9623
9,0000;17,0000;0,7856;0,8001;0,7843;4,8196
9,0000;18,0000;0,7829;0,7972;0,7816;4,2738
9,0000;19,0000;0,7874;0,8020;0,7861;4,5238
9,0000;20,0000;0,7804;0,7940;0,7791;4,1450
9,0000;21,0000;0,7904;0,8063;0,7888;4,0993
9,0000;22,0000;0,7839;0,7976;0,7826;3,9711
9,0000;23,0000;0,7915;0,8068;0,7900;3,7284
9,0000;24,0000;0,7901;0,8048;0,7887;3,6876
9,0000;25,0000;0,7877;0,8013;0,7864;3,8112
10,0000;1,0000;0,6380;0,5552;0,6423;28,6901
10,0000;2,0000;0,7331;0,7417;0,7327;26,3664
10,0000;3,0000;0,7578;0,7651;0,7574;21,1595
10,0000;4,0000;0,7709;0,7783;0,7704;17,8398
10,0000;5,0000;0,7794;0,7891;0,7787;14,4338
10,0000;6,0000;0,7764;0,7892;0,7754;12,5337
10,0000;7,0000;0,7860;0,7983;0,7849;10,0806
10,0000;8,0000;0,7739;0,7864;0,7729;9,2795
10,0000;9,0000;0,7731;0,7871;0,7720;9,5369
10,0000;10,0000;0,7844;0,7997;0,7830;7,8875
10,0000;11,0000;0,7821;0,7958;0,7809;7,1716
10,0000;12,0000;0,7723;0,7843;0,7713;7,6710
10,0000;13,0000;0,7768;0,7910;0,7755;7,0414
10,0000;14,0000;0,7826;0,7959;0,7814;6,4319
