2;14;0.6566;0.0294;0.6719;0.0361;0.6559;0.0291;6.2018;1.6
2;15;0.6626;0.0286;0.677;0.0391;0.6619;0.028;5.4553;1.5429
2;16;0.6694;0.029;0.6836;0.0373;0.6687;0.0286;4.9926;1.3142
2;17;0.6633;0.0317;0.6784;0.0398;0.6625;0.0313;4.7853;1.4473
2;18;0.6688;0.0266;0.6853;0.0318;0.6679;0.0263;4.5914;1.3394
2;19;0.6665;0.0235;0.6817;0.03;0.6657;0.0232;4.6131;1.2318
2;20;0.6658;0.0259;0.6828;0.0345;0.6649;0.0254;4.2742;1.3087
2;21;0.6599;0.0321;0.6761;0.0364;0.659;0.0319;4.2983;1.3255
2;22;0.6568;0.0309;0.6743;0.0387;0.6558;0.0305;4.1273;0.9103
2;23;0.6691;0.0242;0.688;0.0311;0.668;0.0238;4.0025;1.0327
2;24;0.6701;0.031;0.6865;0.0407;0.6691;0.0305;3.717;1.0829
2;25;0.673;0.0352;0.6903;0.0372;0.672;0.0351;3.823;1.0121
3;1;0.6023;0.0255;0.4747;0.0495;0.6079;0.0252;25.6136;1.5473
3;2;0.6898;0.0365;0.6925;0.0413;0.6899;0.0364;30.3495;10.3007
3;3;0.7104;0.035;0.7214;0.0366;0.7099;0.035;21.1313;7.4347
3;4;0.7386;0.0319;0.7465;0.0362;0.7382;0.0316;15.4279;5.0513
3;5;0.7305;0.0328;0.7382;0.0349;0.7302;0.0326;13.247;4.9845
3;6;0.7428;0.0283;0.7523;0.0301;0.7423;0.0281;11.839;4.2911
3;7;0.745;0.0283;0.7555;0.0331;0.7444;0.0279;11.0149;3.6976
3;8;0.7454;0.029;0.7577;0.0343;0.7446;0.0286;8.9983;3.0558
3;9;0.7466;0.0261;0.7596;0.0309;0.7457;0.0257;8.8796;2.5458
3;10;0.7558;0.0177;0.7697;0.0217;0.7547;0.0173;7.2265;2.307
3;11;0.7539;0.0236;0.7676;0.0279;0.7529;0.0233;6.382;2.236
3;12;0.7557;0.0217;0.7692;0.0259;0.7547;0.0213;5.8135;1.7793
3;13;0.7486;0.0279;0.7622;0.0322;0.7476;0.0275;5.6951;1.5993
3;14;0.7571;0.0253;0.7714;0.0283;0.756;0.025;6.6685;2.0839
3;15;0.7582;0.0227;0.7735;0.0259;0.757;0.0224;5.3351;1.6364
3;16;0.7623;0.0251;0.7761;0.0303;0.7612;0.0246;5.1071;1.2262
3;17;0.7572;0.023;0.7737;0.0239;0.756;0.0229;5.0595;1.7701
3;18;0.7642;0.0194;0.7801;0.0213;0.763;0.0192;4.4926;1.2564
3;19;0.7658;0.0191;0.783;0.0217;0.7643;0.0188;4.4184;1.4948
3;20;0.7672;0.0205;0.7828;0.0239;0.7659;0.0202;4.4442;1.1897
3;21;0.7659;0.022;0.7798;0.027;0.7648;0.0215;4.0191;1.0527
