knn,comp,acc,f_score,roc,time
4,1,0.5985,0.5926,0.5991,19.843
4,1,0.573,0.5651,0.5737,27.309
4,1,0.6204,0.5969,0.622,15.052
4,1,0.573,0.5866,0.5725,23.623
4,1,0.573,0.5714,0.5733,15.482
4,1,0.5401,0.55,0.5399,16.511
4,1,0.5182,0.5352,0.5177,21.2731
4,1,0.5657,0.5993,0.5641,17.7989
5,1,0.5912,0.619,0.5899,8.7122
5,1,0.5657,0.5735,0.5656,10.925
5,1,0.5766,0.6,0.5756,7.395
5,1,0.5292,0.5536,0.5283,12.2201
5,1,0.5219,0.5371,0.5214,11.879
5,1,0.5766,0.5766,0.5769,10.567
5,1,0.5584,0.598,0.5565,24.129
5,1,0.5803,0.5993,0.5795,22.443
5,1,0.5766,0.5827,0.5766,10.378
5,1,0.6204,0.6486,0.619,16.754
5,1,0.6095,0.59,0.6108,9.918
5,1,0.6058,0.6327,0.6045,12.894
5,1,0.5474,0.5079,0.5495,22.077
5,1,0.5657,0.5795,0.5652,30.6019
5,1,0.573,0.5895,0.5724,10.264
5,1,0.5547,0.5643,0.5545,8.8281
5,1,0.5438,0.5318,0.5446,19.018
5,1,0.5511,0.5914,0.5492,12.9401
5,1,0.573,0.5745,0.5732,11.7448
5,1,0.5876,0.595,0.5875,8.851
5,1,0.4891,0.5,0.4888,7.4812
5,1,0.562,0.5588,0.5625,9.592
5,1,0.5693,0.5903,0.5685,14.259
5,1,0.5365,0.5448,0.5364,10.156
5,1,0.5401,0.5828,0.5382,29.935
5,1,0.5912,0.6216,0.5898,7.534
5,1,0.5766,0.5639,0.5776,16.069
5,1,0.5912,0.6242,0.5896,9.0811
5,1,0.5803,0.5818,0.5805,8.262
5,1,0.6022,0.6121,0.6019,13.255
5,1,0.5912,0.6084,0.5906,9.519
5,1,0.573,0.5836,0.5727,13.0341
5,1,0.5876,0.5799,0.5883,7.289
5,1,0.5693,0.5816,0.569,12.463
5,1,0.6022,0.6007,0.6026,6.1605
5,1,0.5803,0.5907,0.58,16.0974
5,1,0.562,0.5455,0.5631,7.8811
5,1,0.5693,0.5931,0.5683,13.3147
5,1,0.5912,0.5789,0.5922,6
5,1,0.5985,0.6043,0.5985,12.5363
5,1,0.6131,0.6395,0.6118,16.144
5,1,0.5912,0.5852,0.5918,15.563
5,1,0.5985,0.5985,0.5988,9.373
5,1,0.5292,0.5657,0.5276,15.01
5,1,0.5985,0.5736,0.6001,12.6416
5,1,0.5401,0.5368,0.5406,9.859
5,1,0.5949,0.6288,0.5932,17.686
5,1,0.573,0.5895,0.5724,10.2398
5,1,0.5693,0.5725,0.5695,7.832
5,1,0.5839,0.6096,0.5828,7.636
6,1,0.5511,0.5461,0.5516,14.445
6,1,0.5766,0.5797,0.5768,8.721
6,1,0.5474,0.5079,0.5495,8.897
6,1,0.5657,0.5939,0.5644,5.7088
6,1,0.5949,0.5904,0.5954,12.279
6,1,0.5949,0.6212,0.5937,13.001
6,1,0.6095,0.6348,0.6083,6.9249
6,1,0.5474,0.5441,0.5479,8.95
6,1,0.5912,0.5758,0.5923,9.9859
6,1,0.6168,0.6038,0.6178,16.1009
6,1,0.5876,0.6143,0.5864,11.392
6,1,0.562,0.6129,0.5594,17.186
6,1,0.6095,0.5932,0.6107,8.67
6,1,0.5912,0.6056,0.5907,13.3189
