number components; knn; acc score; f1 score; roc score; time
10,0000;7,0000;0,8607;0,8647;0,8604;10,1035
10,0000;8,0000;0,8474;0,8526;0,8469;8,5457
10,0000;9,0000;0,8484;0,8550;0,8478;8,0879
10,0000;10,0000;0,8548;0,8598;0,8544;7,5486
10,0000;11,0000;0,8599;0,8658;0,8594;6,5207
10,0000;12,0000;0,8485;0,8528;0,8482;5,7485
10,0000;13,0000;0,8512;0,8565;0,8507;6,0304
10,0000;14,0000;0,8393;0,8436;0,8390;5,4543
10,0000;15,0000;0,8472;0,8510;0,8470;5,1249
10,0000;16,0000;0,8414;0,8451;0,8412;4,7482
10,0000;17,0000;0,8393;0,8440;0,8389;4,4954
10,0000;18,0000;0,8426;0,8483;0,8421;4,3659
10,0000;19,0000;0,8354;0,8402;0,8351;4,6198
10,0000;20,0000;0,8417;0,8479;0,8412;4,0100
10,0000;21,0000;0,8397;0,8470;0,8391;4,0890
10,0000;22,0000;0,8326;0,8371;0,8323;4,0705
10,0000;23,0000;0,8272;0,8326;0,8268;3,4391
10,0000;24,0000;0,8289;0,8359;0,8283;3,6497
10,0000;25,0000;0,8227;0,8279;0,8224;3,5791
11,0000;1,0000;0,6924;0,6124;0,6972;25,7515
11,0000;2,0000;0,8202;0,8164;0,8210;27,2096
11,0000;3,0000;0,8267;0,8250;0,8273;19,2937
11,0000;4,0000;0,8415;0,8396;0,8422;15,5632
11,0000;5,0000;0,8491;0,8453;0,8500;12,0300
11,0000;6,0000;0,8631;0,8617;0,8636;11,6284
11,0000;7,0000;0,8585;0,8574;0,8590;9,0844
11,0000;8,0000;0,8562;0,8546;0,8568;8,2390
11,0000;9,0000;0,8523;0,8516;0,8528;7,9072
11,0000;10,0000;0,8553;0,8563;0,8555;7,2206
11,0000;11,0000;0,8658;0,8666;0,8661;7,1589
11,0000;12,0000;0,8604;0,8606;0,8608;6,5272
11,0000;13,0000;0,8576;0,8585;0,8578;6,1599
11,0000;14,0000;0,8553;0,8564;0,8554;5,5663
11,0000;15,0000;0,8598;0,8605;0,8601;5,4284
11,0000;16,0000;0,8493;0,8520;0,8493;4,7774
11,0000;17,0000;0,8536;0,8537;0,8540;4,7099
11,0000;18,0000;0,8537;0,8544;0,8540;4,9224
11,0000;19,0000;0,8482;0,8495;0,8484;4,4055
11,0000;20,0000;0,8518;0,8542;0,8518;4,6168
11,0000;21,0000;0,8514;0,8526;0,8515;4,1827
11,0000;22,0000;0,8532;0,8541;0,8534;3,9940
11,0000;23,0000;0,8539;0,8574;0,8537;3,8101
11,0000;24,0000;0,8515;0,8523;0,8518;3,6556
11,0000;25,0000;0,8507;0,8522;0,8509;3,7881
12,0000;1,0000;0,7222;0,6658;0,7262;25,9417
12,0000;2,0000;0,8154;0,8168;0,8156;25,5906
