knn; number components; acc score; f1 score; roc score; time
5,0000;1,0000;0,6131;0,6395;0,6118;16,1440
5,0000;1,0000;0,5912;0,5852;0,5918;15,5630
5,0000;1,0000;0,5985;0,5985;0,5988;9,3730
5,0000;1,0000;0,5292;0,5657;0,5276;15,0100
5,0000;1,0000;0,5985;0,5736;0,6001;12,6416
5,0000;1,0000;0,5401;0,5368;0,5406;9,8590
5,0000;1,0000;0,5949;0,6288;0,5932;17,6860
5,0000;1,0000;0,5730;0,5895;0,5724;10,2398
5,0000;1,0000;0,5693;0,5725;0,5695;7,8320
5,0000;1,0000;0,5839;0,6096;0,5828;7,6360
6,0000;1,0000;0,5511;0,5461;0,5516;14,4450
6,0000;1,0000;0,5766;0,5797;0,5768;8,7210
6,0000;1,0000;0,5474;0,5079;0,5495;8,8970
6,0000;1,0000;0,5657;0,5939;0,5644;5,7088
6,0000;1,0000;0,5949;0,5904;0,5954;12,2790
6,0000;1,0000;0,5949;0,6212;0,5937;13,0010
6,0000;1,0000;0,6095;0,6348;0,6083;6,9249
6,0000;1,0000;0,5474;0,5441;0,5479;8,9500
6,0000;1,0000;0,5912;0,5758;0,5923;9,9859
6,0000;1,0000;0,6168;0,6038;0,6178;16,1009
6,0000;1,0000;0,5876;0,6143;0,5864;11,3920
6,0000;1,0000;0,5620;0,6129;0,5594;17,1860
6,0000;1,0000;0,6095;0,5932;0,6107;8,6700
6,0000;1,0000;0,5912;0,6056;0,5907;13,3189
6,0000;1,0000;0,5474;0,5753;0,5463;8,1083
6,0000;1,0000;0,5803;0,5907;0,5800;16,7260
6,0000;1,0000;0,5803;0,5594;0,5816;9,6870
6,0000;1,0000;0,5620;0,5862;0,5610;7,4820
6,0000;1,0000;0,6715;0,6831;0,6711;6,2460
6,0000;1,0000;0,5255;0,5548;0,5244;12,2840
6,0000;1,0000;0,5876;0,6035;0,5870;9,4931
6,0000;1,0000;0,6131;0,6187;0,6131;14,3100
6,0000;1,0000;0,5511;0,5393;0,5519;10,1130
6,0000;1,0000;0,6423;0,6776;0,6402;7,3060
6,0000;1,0000;0,5730;0,5836;0,5727;8,3169
6,0000;1,0000;0,6131;0,5859;0,6149;10,0850
6,0000;1,0000;0,6241;0,6436;0,6232;17,1750
6,0000;1,0000;0,5766;0,5944;0,5760;7,9180
6,0000;1,0000;0,5657;0,5609;0,5662;9,6580
6,0000;1,0000;0,6058;0,6224;0,6052;9,0729
6,0000;1,0000;0,5474;0,5603;0,5471;12,5640
